name,stra.1,stra.15,stra.20,stra.33,stra.65,stra.69,stra.71,stra.100,stra.129,stra.131,stra.135,stra.138,stra.165,stra.195,stra.197,stra.205,stra.229,stra.233,stra.237,stra.257,
2419,0.836791,1.1975e-28,0,0.0901282,0.0280178,0.000891661,7.04371e-08,0,2.90018e-08,7.16988e-12,1.18265e-79,0,2.79209e-50,8.33853e-40,0.0441257,1.88337e-28,3.78239e-05,9.49027e-16,6.13376e-21,3.78547e-31,
2420,0.836794,1.1034e-28,0,0.0901213,0.0280179,0.000891728,6.47656e-08,0,2.90017e-08,6.73588e-12,1.08637e-79,0,2.7907e-50,7.81512e-40,0.0441299,1.88362e-28,3.77499e-05,9.52961e-16,6.12619e-21,3.7853e-31,
2421,0.836797,1.01671e-28,0,0.0901143,0.028018,0.000891794,5.95508e-08,0,2.90017e-08,6.32815e-12,9.97919e-80,0,2.78931e-50,7.32456e-40,0.0441342,1.88387e-28,3.76761e-05,9.56911e-16,6.11863e-21,3.78512e-31,
2422,0.83604,9.35905e-29,0,0.090023,0.0279917,0.000890902,5.47044e-08,0,2.89747e-08,5.93831e-12,9.15643e-80,0,2.78494e-50,6.85593e-40,0.044088,1.88169e-28,3.75597e-05,9.59777e-16,6.10395e-21,3.78413e-31,
2423,0.835855,8.61646e-29,0,0.0899971,0.0279812,0.000890108,5.02511e-08,0,2.89656e-08,5.5763e-12,8.40193e-80,0,2.78054e-50,6.41978e-40,0.0440373,1.8788e-28,3.74213e-05,9.62253e-16,6.08489e-21,3.78256e-31,
2424,0.836123,7.93987e-29,0,0.0900178,0.0279882,0.000890149,4.62063e-08,0,2.89736e-08,5.23935e-12,7.7171e-80,0,2.77898e-50,6.01607e-40,0.0440345,1.87833e-28,3.73354e-05,9.65976e-16,6.07487e-21,3.78147e-31,
2425,0.836256,7.31611e-29,0,0.0900232,0.0279915,0.000890174,4.24868e-08,0,2.89774e-08,4.92207e-12,7.08806e-80,0,2.77744e-50,5.63738e-40,0.0440333,1.87806e-28,3.72549e-05,9.69814e-16,6.06591e-21,3.78058e-31,
2426,0.836338,6.74125e-29,0,0.0900231,0.0279934,0.000890196,3.90665e-08,0,2.89796e-08,4.6238e-12,6.5103e-80,0,2.77592e-50,5.28247e-40,0.0440328,1.87789e-28,3.71766e-05,9.73708e-16,6.05737e-21,3.7798e-31,
2427,0.8364,6.21152e-29,0,0.0900209,0.0279949,0.000890219,3.59214e-08,0,2.89811e-08,4.34356e-12,5.97966e-80,0,2.77441e-50,4.94993e-40,0.0440328,1.87777e-28,3.70993e-05,9.77636e-16,6.049e-21,3.77907e-31,
2428,0.836453,5.72339e-29,0,0.0900178,0.0279961,0.000890245,3.30294e-08,0,2.89825e-08,4.08031e-12,5.49231e-80,0,2.77291e-50,4.63838e-40,0.0440332,1.87768e-28,3.70226e-05,9.81592e-16,6.04073e-21,3.77839e-31,
2429,0.8365,5.27361e-29,0,0.0900142,0.0279971,0.000890274,3.03701e-08,0,2.89836e-08,3.83303e-12,5.0447e-80,0,2.77142e-50,4.3465e-40,0.0440339,1.87762e-28,3.69464e-05,9.85572e-16,6.03253e-21,3.77776e-31,
2430,0.836543,4.85917e-29,0,0.0900103,0.0279981,0.000890306,2.79248e-08,0,2.89847e-08,3.60076e-12,4.63359e-80,0,2.76994e-50,4.07303e-40,0.0440349,1.87758e-28,3.68705e-05,9.89574e-16,6.0244e-21,3.77716e-31,
2431,0.836583,4.47729e-29,0,0.0900061,0.027999,0.00089034,2.56763e-08,0,2.89856e-08,3.38258e-12,4.256e-80,0,2.76847e-50,3.81682e-40,0.0440362,1.87757e-28,3.67951e-05,9.93599e-16,6.01631e-21,3.7766e-31,
